Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,8.655013084411621,14.0,December 14,2.724740982055664,0.4906012823577018,1.751974720569428,9.678430694603557,0.0,,0.00025517153990852024,0.11813901812152408,318.8540319575536,-319.34463323991133
Test,2,8.655013084411621,14.0,November 13,2.724740982055664,0.5191885214279881,1.856018351974739,10.252993512121968,0.0,,0.00025517153990852024,0.1182152740642364,520.4842669610916,-521.0034554825196
Test,2,8.655013084411621,14.0,December 06,2.724740982055664,0.4846789797374368,1.7304395695301942,9.559504606304667,0.0,,0.00025517153990852024,0.11827048643404622,394.57241791333536,-395.0570968930728
Train,3,17.526944398880005,14.0,December 14,0.8156709671020508,0.5437510989373266,1.9452343354883477,10.745691738832601,0.0,,0.00025517153990852024,0.11852005857680434,292.88302890022214,-293.42677999915946
Test,3,17.526944398880005,14.0,November 13,0.8156709671020508,0.49163085181019894,1.7568258000380144,9.705106311812463,0.0,,0.00025517153990852024,0.11840571844757358,729.9158372313626,-730.4074680831728
Test,3,17.526944398880005,14.0,December 06,0.8156709671020508,0.5356029471311164,1.9139220815587672,10.57294581581078,0.0,,0.00025517153990852024,0.11823358746153861,273.6387297719712,-274.1743327191023
Train,4,27.59415912628174,14.0,December 14,-7.2375993728637695,0.5341983171317456,1.9101620000398594,10.552042257847868,0.0,,0.00025517153990852024,0.11826037377918597,222.58516231148351,-223.11936062861525
Test,4,27.59415912628174,14.0,November 13,-7.2375993728637695,0.5746962919205384,2.055733293109217,11.356121837195236,0.0,,0.00025517153990852024,0.11834280017526895,317.7824564037586,-318.35715269567913
Test,4,27.59415912628174,14.0,December 06,-7.2375993728637695,0.507133100025132,1.812278591376988,10.011434300520706,0.0,,0.00025517153990852024,0.11810146094210494,254.81588653199472,-255.32301963201985
Train,5,37.932514905929565,14.0,December 14,-5.496947765350342,0.590101103822886,2.1115548222859775,11.664411664867641,0.0,,0.00025517153990852024,0.11839957249470179,97.58042605987745,-98.17052716370034
